PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Survived
1,Third,male,22,1,0,7.25,,S,No
2,First,female,38,1,0,71.2833,C85,C,Yes
3,Third,female,26,0,0,7.925,,S,Yes
4,First,female,35,1,0,53.1,C123,S,Yes
5,Third,male,35,0,0,8.05,,S,No
6,Third,male,,0,0,8.4583,,Q,No
7,First,male,54,0,0,51.8625,E46,S,No
8,Third,male,2,3,1,21.075,,S,No
9,Third,female,27,0,2,11.1333,,S,Yes
10,Second,female,14,1,0,30.0708,,C,Yes
11,Third,female,4,1,1,16.7,G6,S,Yes
12,First,female,58,0,0,26.55,C103,S,Yes
13,Third,male,20,0,0,8.05,,S,No
14,Third,male,39,1,5,31.275,,S,No
15,Third,female,14,0,0,7.8542,,S,No
16,Second,female,55,0,0,16,,S,Yes
17,Third,male,2,4,1,29.125,,Q,No
18,Second,male,,0,0,13,,S,Yes
19,Third,female,31,1,0,18,,S,No
20,Third,female,,0,0,7.225,,C,Yes
21,Second,male,35,0,0,26,,S,No
22,Second,male,34,0,0,13,D56,S,Yes
23,Third,female,15,0,0,8.0292,,Q,Yes
24,First,male,28,0,0,35.5,A6,S,Yes
25,Third,female,8,3,1,21.075,,S,No
26,Third,female,38,1,5,31.3875,,S,Yes
27,Third,male,,0,0,7.225,,C,No
28,First,male,19,3,2,263,C23 C25 C27,S,No
29,Third,female,,0,0,7.8792,,Q,Yes
30,Third,male,,0,0,7.8958,,S,No
31,First,male,40,0,0,27.7208,,C,No
32,First,female,,1,0,146.5208,B78,C,Yes
33,Third,female,,0,0,7.75,,Q,Yes
34,Second,male,66,0,0,10.5,,S,No
35,First,male,28,1,0,82.1708,,C,No
36,First,male,42,1,0,52,,S,No
37,Third,male,,0,0,7.2292,,C,Yes
38,Third,male,21,0,0,8.05,,S,No
39,Third,female,18,2,0,18,,S,No
40,Third,female,14,1,0,11.2417,,C,Yes
41,Third,female,40,1,0,9.475,,S,No
42,Second,female,27,1,0,21,,S,No
43,Third,male,,0,0,7.8958,,C,No
44,Second,female,3,1,2,41.5792,,C,Yes
45,Third,female,19,0,0,7.8792,,Q,Yes
46,Third,male,,0,0,8.05,,S,No
47,Third,male,,1,0,15.5,,Q,No
48,Third,female,,0,0,7.75,,Q,Yes
49,Third,male,,2,0,21.6792,,C,No
50,Third,female,18,1,0,17.8,,S,No
51,Third,male,7,4,1,39.6875,,S,No
52,Third,male,21,0,0,7.8,,S,No
53,First,female,49,1,0,76.7292,D33,C,Yes
54,Second,female,29,1,0,26,,S,Yes
55,First,male,65,0,1,61.9792,B30,C,No
56,First,male,,0,0,35.5,C52,S,Yes
57,Second,female,21,0,0,10.5,,S,Yes
58,Third,male,28.5,0,0,7.2292,,C,No
59,Second,female,5,1,2,27.75,,S,Yes
60,Third,male,11,5,2,46.9,,S,No
61,Third,male,22,0,0,7.2292,,C,No
62,First,female,38,0,0,80,B28,,Yes
63,First,male,45,1,0,83.475,C83,S,No
64,Third,male,4,3,2,27.9,,S,No
65,First,male,,0,0,27.7208,,C,No
66,Third,male,,1,1,15.2458,,C,Yes
67,Second,female,29,0,0,10.5,F33,S,Yes
68,Third,male,19,0,0,8.1583,,S,No
69,Third,female,17,4,2,7.925,,S,Yes
70,Third,male,26,2,0,8.6625,,S,No
71,Second,male,32,0,0,10.5,,S,No
72,Third,female,16,5,2,46.9,,S,No
73,Second,male,21,0,0,73.5,,S,No
74,Third,male,26,1,0,14.4542,,C,No
75,Third,male,32,0,0,56.4958,,S,Yes
76,Third,male,25,0,0,7.65,F G73,S,No
77,Third,male,,0,0,7.8958,,S,No
78,Third,male,,0,0,8.05,,S,No
79,Second,male,0.83,0,2,29,,S,Yes
80,Third,female,30,0,0,12.475,,S,Yes
81,Third,male,22,0,0,9,,S,No
82,Third,male,29,0,0,9.5,,S,Yes
83,Third,female,,0,0,7.7875,,Q,Yes
84,First,male,28,0,0,47.1,,S,No
85,Second,female,17,0,0,10.5,,S,Yes
86,Third,female,33,3,0,15.85,,S,Yes
87,Third,male,16,1,3,34.375,,S,No
88,Third,male,,0,0,8.05,,S,No
89,First,female,23,3,2,263,C23 C25 C27,S,Yes
90,Third,male,24,0,0,8.05,,S,No
91,Third,male,29,0,0,8.05,,S,No
92,Third,male,20,0,0,7.8542,,S,No
93,First,male,46,1,0,61.175,E31,S,No
94,Third,male,26,1,2,20.575,,S,No
95,Third,male,59,0,0,7.25,,S,No
96,Third,male,,0,0,8.05,,S,No
97,First,male,71,0,0,34.6542,A5,C,No
98,First,male,23,0,1,63.3583,D10 D12,C,Yes
99,Second,female,34,0,1,23,,S,Yes
100,Second,male,34,1,0,26,,S,No
101,Third,female,28,0,0,7.8958,,S,No
102,Third,male,,0,0,7.8958,,S,No
103,First,male,21,0,1,77.2875,D26,S,No
104,Third,male,33,0,0,8.6542,,S,No
105,Third,male,37,2,0,7.925,,S,No
106,Third,male,28,0,0,7.8958,,S,No
107,Third,female,21,0,0,7.65,,S,Yes
108,Third,male,,0,0,7.775,,S,Yes
109,Third,male,38,0,0,7.8958,,S,No
110,Third,female,,1,0,24.15,,Q,Yes
111,First,male,47,0,0,52,C110,S,No
112,Third,female,14.5,1,0,14.4542,,C,No
113,Third,male,22,0,0,8.05,,S,No
114,Third,female,20,1,0,9.825,,S,No
115,Third,female,17,0,0,14.4583,,C,No
116,Third,male,21,0,0,7.925,,S,No
117,Third,male,70.5,0,0,7.75,,Q,No
118,Second,male,29,1,0,21,,S,No
119,First,male,24,0,1,247.5208,B58 B60,C,No
120,Third,female,2,4,2,31.275,,S,No
121,Second,male,21,2,0,73.5,,S,No
122,Third,male,,0,0,8.05,,S,No
123,Second,male,32.5,1,0,30.0708,,C,No
124,Second,female,32.5,0,0,13,E101,S,Yes
125,First,male,54,0,1,77.2875,D26,S,No
126,Third,male,12,1,0,11.2417,,C,Yes
127,Third,male,,0,0,7.75,,Q,No
128,Third,male,24,0,0,7.1417,,S,Yes
129,Third,female,,1,1,22.3583,F E69,C,Yes
130,Third,male,45,0,0,6.975,,S,No
131,Third,male,33,0,0,7.8958,,C,No
132,Third,male,20,0,0,7.05,,S,No
133,Third,female,47,1,0,14.5,,S,No
134,Second,female,29,1,0,26,,S,Yes
135,Second,male,25,0,0,13,,S,No
136,Second,male,23,0,0,15.0458,,C,No
137,First,female,19,0,2,26.2833,D47,S,Yes
138,First,male,37,1,0,53.1,C123,S,No
139,Third,male,16,0,0,9.2167,,S,No
140,First,male,24,0,0,79.2,B86,C,No
141,Third,female,,0,2,15.2458,,C,No
142,Third,female,22,0,0,7.75,,S,Yes
143,Third,female,24,1,0,15.85,,S,Yes
144,Third,male,19,0,0,6.75,,Q,No
145,Second,male,18,0,0,11.5,,S,No
146,Second,male,19,1,1,36.75,,S,No
147,Third,male,27,0,0,7.7958,,S,Yes
148,Third,female,9,2,2,34.375,,S,No
149,Second,male,36.5,0,2,26,F2,S,No
150,Second,male,42,0,0,13,,S,No
151,Second,male,51,0,0,12.525,,S,No
152,First,female,22,1,0,66.6,C2,S,Yes
153,Third,male,55.5,0,0,8.05,,S,No
154,Third,male,40.5,0,2,14.5,,S,No
155,Third,male,,0,0,7.3125,,S,No
156,First,male,51,0,1,61.3792,,C,No
157,Third,female,16,0,0,7.7333,,Q,Yes
158,Third,male,30,0,0,8.05,,S,No
159,Third,male,,0,0,8.6625,,S,No
160,Third,male,,8,2,69.55,,S,No
161,Third,male,44,0,1,16.1,,S,No
162,Second,female,40,0,0,15.75,,S,Yes
163,Third,male,26,0,0,7.775,,S,No
164,Third,male,17,0,0,8.6625,,S,No
165,Third,male,1,4,1,39.6875,,S,No
166,Third,male,9,0,2,20.525,,S,Yes
167,First,female,,0,1,55,E33,S,Yes
168,Third,female,45,1,4,27.9,,S,No
169,First,male,,0,0,25.925,,S,No
170,Third,male,28,0,0,56.4958,,S,No
171,First,male,61,0,0,33.5,B19,S,No
172,Third,male,4,4,1,29.125,,Q,No
173,Third,female,1,1,1,11.1333,,S,Yes
174,Third,male,21,0,0,7.925,,S,No
175,First,male,56,0,0,30.6958,A7,C,No
